selection,relation_set,metric,go_id,depth,letters
namespace,is_a,shortest,GO:0000711,4.0,25.0
namespace,is_a,shortest,GO:0000712,4.0,45.0
namespace,is_a,shortest,GO:0000713,4.0,28.0
namespace,is_a,shortest,GO:0000714,4.0,25.0
namespace,is_a,shortest,GO:0000715,6.0,44.0
namespace,is_a,shortest,GO:0000716,7.0,64.0
namespace,is_a,shortest,GO:0000719,7.0,19.0
namespace,is_a,shortest,GO:0000720,7.0,47.0
namespace,is_a,shortest,GO:0000722,7.0,35.0
namespace,is_a,shortest,GO:0000723,6.0,19.0
namespace,is_a,shortest,GO:0000724,7.0,49.0
namespace,is_a,shortest,GO:0000725,6.0,21.0
namespace,is_a,shortest,GO:0000727,8.0,49.0
namespace,is_a,shortest,GO:0000729,6.0,30.0
namespace,is_a,shortest,GO:0000730,7.0,22.0
namespace,is_a,shortest,GO:0000731,7.0,31.0
namespace,is_a,shortest,GO:0000732,6.0,21.0
namespace,is_a,shortest,GO:0000735,6.0,26.0
namespace,is_a,shortest,GO:0000736,7.0,73.0
namespace,is_a,shortest,GO:0000740,6.0,21.0
namespace,is_a,shortest,GO:0000741,6.0,9.0
namespace,is_a,shortest,GO:0000742,7.0,48.0
namespace,is_a,shortest,GO:0000743,6.0,55.0
namespace,is_a,shortest,GO:0000747,3.0,29.0
namespace,is_a,shortest,GO:0000748,3.0,36.0
namespace,is_a,shortest,GO:0000749,5.0,58.0
namespace,is_a,shortest,GO:0000751,7.0,44.0
namespace,is_a,shortest,GO:0000752,2.0,52.0
namespace,is_a,shortest,GO:0000753,4.0,56.0
namespace,is_a,shortest,GO:0000755,3.0,8.0
namespace,is_a,shortest,GO:0000756,3.0,65.0
namespace,is_a,shortest,GO:0000760,4.0,67.0
namespace,is_a,shortest,GO:0000761,5.0,18.0
namespace,is_a,shortest,GO:0000762,4.0,41.0
namespace,is_a,shortest,GO:0000765,4.0,70.0
namespace,is_a,shortest,GO:0000768,3.0,34.0
namespace,is_a,shortest,GO:0000769,5.0,45.0
namespace,is_a,shortest,GO:0000770,5.0,22.0
namespace,is_a,shortest,GO:0000819,5.0,26.0
namespace,is_a,shortest,GO:0000902,3.0,17.0
namespace,is_a,shortest,GO:0000905,7.0,49.0
namespace,is_a,shortest,GO:0000909,7.0,48.0
namespace,is_a,shortest,GO:0000910,3.0,11.0
namespace,is_a,shortest,GO:0000911,4.0,31.0
namespace,is_a,shortest,GO:0000912,4.0,50.0
namespace,is_a,shortest,GO:0000913,3.0,23.0
namespace,is_a,shortest,GO:0000914,6.0,20.0
namespace,is_a,shortest,GO:0000915,4.0,33.0
namespace,is_a,shortest,GO:0000916,5.0,36.0
namespace,is_a,shortest,GO:0000917,5.0,22.0
namespace,is_a,shortest,GO:0000918,4.0,27.0
namespace,is_a,shortest,GO:0000919,3.0,17.0
namespace,is_a,shortest,GO:0000920,2.0,31.0
namespace,is_a,shortest,GO:0000921,6.0,18.0
namespace,is_a,shortest,GO:0000956,8.0,38.0
namespace,is_a,shortest,GO:0000957,7.0,32.0
namespace,is_a,shortest,GO:0000958,8.0,33.0
namespace,is_a,shortest,GO:0000959,6.0,32.0
namespace,is_a,shortest,GO:0000960,6.0,44.0
namespace,is_a,shortest,GO:0000961,7.0,52.0
namespace,is_a,shortest,GO:0000962,7.0,52.0
namespace,is_a,shortest,GO:0000963,5.0,26.0
namespace,is_a,shortest,GO:0000964,6.0,29.0
namespace,is_a,shortest,GO:0000965,6.0,29.0
namespace,is_a,shortest,GO:0000966,5.0,16.0
namespace,is_a,shortest,GO:0000967,6.0,17.0
namespace,is_a,shortest,GO:0000968,7.0,16.0
namespace,is_a,shortest,GO:0000972,6.0,73.0
namespace,is_a,shortest,GO:0000973,7.0,70.0
namespace,is_a,shortest,GO:0001014,8.0,37.0
namespace,is_a,shortest,GO:0001015,8.0,36.0
namespace,is_a,shortest,GO:0001059,8.0,30.0
namespace,is_a,shortest,GO:0001060,8.0,29.0
namespace,is_a,shortest,GO:0001079,6.0,70.0
namespace,is_a,shortest,GO:0001080,7.0,70.0
namespace,is_a,shortest,GO:0001081,7.0,70.0
namespace,is_a,shortest,GO:0001100,8.0,35.0
namespace,is_a,shortest,GO:0001101,3.0,22.0
namespace,is_a,shortest,GO:0001109,7.0,48.0
namespace,is_a,shortest,GO:0001110,8.0,33.0
namespace,is_a,shortest,GO:0001111,8.0,32.0
namespace,is_a,shortest,GO:0001112,7.0,45.0
namespace,is_a,shortest,GO:0001113,8.0,58.0
namespace,is_a,shortest,GO:0001115,5.0,32.0
namespace,is_a,shortest,GO:0001116,6.0,28.0
namespace,is_a,shortest,GO:0001117,6.0,31.0
namespace,is_a,shortest,GO:0001118,7.0,38.0
namespace,is_a,shortest,GO:0001119,6.0,30.0
namespace,is_a,shortest,GO:0001120,6.0,27.0
namespace,is_a,shortest,GO:0001171,8.0,20.0
namespace,is_a,shortest,GO:0001172,7.0,25.0
namespace,is_a,shortest,GO:0001173,7.0,45.0
namespace,is_a,shortest,GO:0001174,8.0,58.0
namespace,is_a,shortest,GO:0001175,8.0,59.0
namespace,is_a,shortest,GO:0001177,5.0,70.0
namespace,is_a,shortest,GO:0001178,8.0,70.0
namespace,is_a,shortest,GO:0001182,8.0,31.0
namespace,is_a,shortest,GO:0001188,8.0,42.0
namespace,is_a,shortest,GO:0001192,7.0,65.0
namespace,is_a,shortest,GO:0001193,8.0,82.0
namespace,is_a,shortest,GO:0001195,8.0,83.0
namespace,is_a,shortest,GO:0001325,5.0,38.0
namespace,is_a,shortest,GO:0001326,8.0,40.0
namespace,is_a,shortest,GO:0001402,3.0,45.0
namespace,is_a,shortest,GO:0001403,6.0,43.0
namespace,is_a,shortest,GO:0001407,3.0,43.0
namespace,is_a,shortest,GO:0001408,7.0,26.0
namespace,is_a,shortest,GO:0001410,4.0,22.0
namespace,is_a,shortest,GO:0001501,4.0,25.0
namespace,is_a,shortest,GO:0001502,3.0,21.0
namespace,is_a,shortest,GO:0001503,2.0,12.0
namespace,is_a,shortest,GO:0001504,5.0,22.0
namespace,is_a,shortest,GO:0001507,5.0,44.0
namespace,is_a,shortest,GO:0001508,4.0,15.0
namespace,is_a,shortest,GO:0001510,5.0,14.0
namespace,is_a,shortest,GO:0001514,7.0,27.0
namespace,is_a,shortest,GO:0001516,8.0,32.0
namespace,is_a,shortest,GO:0001519,5.0,16.0
namespace,is_a,shortest,GO:0001522,6.0,22.0
namespace,is_a,shortest,GO:0001523,8.0,24.0
namespace,is_a,shortest,GO:0001525,3.0,12.0
namespace,is_a,shortest,GO:0001539,3.0,38.0
namespace,is_a,shortest,GO:0001541,3.0,26.0
namespace,is_a,shortest,GO:0001542,3.0,28.0
namespace,is_a,shortest,GO:0001543,3.0,22.0
namespace,is_a,shortest,GO:0001544,3.0,43.0
namespace,is_a,shortest,GO:0001545,3.0,28.0
namespace,is_a,shortest,GO:0001546,3.0,30.0
namespace,is_a,shortest,GO:0001547,3.0,27.0
namespace,is_a,shortest,GO:0001548,3.0,47.0
namespace,is_a,shortest,GO:0001549,3.0,26.0
namespace,is_a,shortest,GO:0001550,3.0,23.0
namespace,is_a,shortest,GO:0001551,3.0,24.0
namespace,is_a,shortest,GO:0001552,3.0,22.0
namespace,is_a,shortest,GO:0001553,3.0,13.0
namespace,is_a,shortest,GO:0001554,3.0,10.0
namespace,is_a,shortest,GO:0001555,3.0,12.0
namespace,is_a,shortest,GO:0001556,3.0,16.0
namespace,is_a,shortest,GO:0001558,4.0,22.0
namespace,is_a,shortest,GO:0001560,5.0,45.0
namespace,is_a,shortest,GO:0001561,6.0,23.0
namespace,is_a,shortest,GO:0001562,3.0,19.0
namespace,is_a,shortest,GO:0001563,4.0,20.0
namespace,is_a,shortest,GO:0001568,3.0,22.0
namespace,is_a,shortest,GO:0001569,5.0,43.0
namespace,is_a,shortest,GO:0001570,4.0,14.0
namespace,is_a,shortest,GO:0001572,7.0,35.0
namespace,is_a,shortest,GO:0001573,7.0,27.0
namespace,is_a,shortest,GO:0001574,7.0,30.0
namespace,is_a,shortest,GO:0001575,7.0,25.0
namespace,is_a,shortest,GO:0001576,7.0,28.0
namespace,is_a,shortest,GO:0001578,4.0,26.0
namespace,is_a,shortest,GO:0001579,6.0,29.0
namespace,is_a,shortest,GO:0001580,6.0,67.0
namespace,is_a,shortest,GO:0001581,6.0,65.0
namespace,is_a,shortest,GO:0001582,6.0,66.0
namespace,is_a,shortest,GO:0001649,4.0,25.0
namespace,is_a,shortest,GO:0001654,5.0,14.0
namespace,is_a,shortest,GO:0001655,4.0,27.0
namespace,is_a,shortest,GO:0001656,5.0,22.0
namespace,is_a,shortest,GO:0001657,5.0,22.0
namespace,is_a,shortest,GO:0001658,5.0,43.0
namespace,is_a,shortest,GO:0001659,3.0,22.0
namespace,is_a,shortest,GO:0001660,5.0,15.0
namespace,is_a,shortest,GO:0001661,4.0,24.0
namespace,is_a,shortest,GO:0001662,4.0,22.0
namespace,is_a,shortest,GO:0001666,3.0,17.0
namespace,is_a,shortest,GO:0001667,4.0,26.0
namespace,is_a,shortest,GO:0001675,3.0,16.0
namespace,is_a,shortest,GO:0001676,6.0,34.0
namespace,is_a,shortest,GO:0001677,7.0,46.0
namespace,is_a,shortest,GO:0001678,4.0,31.0
namespace,is_a,shortest,GO:0001680,7.0,23.0
namespace,is_a,shortest,GO:0001682,7.0,17.0
namespace,is_a,shortest,GO:0001692,4.0,25.0
namespace,is_a,shortest,GO:0001694,5.0,28.0
namespace,is_a,shortest,GO:0001695,5.0,25.0
namespace,is_a,shortest,GO:0001696,4.0,20.0
namespace,is_a,shortest,GO:0001697,5.0,36.0
namespace,is_a,shortest,GO:0001698,5.0,34.0
namespace,is_a,shortest,GO:0001699,5.0,40.0
namespace,is_a,shortest,GO:0001700,5.0,45.0
namespace,is_a,shortest,GO:0001701,6.0,27.0
namespace,is_a,shortest,GO:0001702,5.0,34.0
namespace,is_a,shortest,GO:0001703,5.0,33.0
namespace,is_a,shortest,GO:0001704,3.0,27.0
namespace,is_a,shortest,GO:0001705,4.0,17.0
namespace,is_a,shortest,GO:0001706,4.0,17.0
namespace,is_a,shortest,GO:0001707,4.0,17.0
namespace,is_a,shortest,GO:0001708,3.0,21.0
namespace,is_a,shortest,GO:0001709,3.0,21.0
namespace,is_a,shortest,GO:0001710,5.0,28.0
namespace,is_a,shortest,GO:0001711,5.0,28.0
namespace,is_a,shortest,GO:0001712,5.0,28.0
namespace,is_a,shortest,GO:0001713,4.0,31.0
namespace,is_a,shortest,GO:0001714,4.0,31.0
namespace,is_a,shortest,GO:0001715,4.0,31.0
namespace,is_a,shortest,GO:0001717,8.0,42.0
namespace,is_a,shortest,GO:0001720,8.0,37.0
namespace,is_a,shortest,GO:0001731,7.0,42.0
namespace,is_a,shortest,GO:0001732,7.0,50.0
namespace,is_a,shortest,GO:0001736,4.0,29.0
namespace,is_a,shortest,GO:0001737,4.0,53.0
namespace,is_a,shortest,GO:0001738,5.0,35.0
namespace,is_a,shortest,GO:0001742,4.0,23.0
namespace,is_a,shortest,GO:0001743,4.0,20.0
namespace,is_a,shortest,GO:0001744,4.0,31.0
namespace,is_a,shortest,GO:0001745,6.0,24.0
namespace,is_a,shortest,GO:0001746,6.0,25.0
namespace,is_a,shortest,GO:0001748,3.0,33.0
namespace,is_a,shortest,GO:0001751,7.0,43.0
namespace,is_a,shortest,GO:0001752,7.0,38.0
namespace,is_a,shortest,GO:0001754,6.0,35.0
namespace,is_a,shortest,GO:0001755,6.0,24.0
namespace,is_a,shortest,GO:0001756,3.0,13.0
namespace,is_a,shortest,GO:0001757,4.0,19.0
namespace,is_a,shortest,GO:0001759,3.0,14.0
namespace,is_a,shortest,GO:0001762,5.0,20.0
namespace,is_a,shortest,GO:0001763,2.0,34.0
namespace,is_a,shortest,GO:0001764,4.0,15.0
namespace,is_a,shortest,GO:0001765,6.0,20.0
namespace,is_a,shortest,GO:0001766,6.0,24.0
namespace,is_a,shortest,GO:0001767,4.0,33.0
namespace,is_a,shortest,GO:0001768,5.0,28.0
namespace,is_a,shortest,GO:0001769,5.0,28.0
namespace,is_a,shortest,GO:0001770,5.0,40.0
namespace,is_a,shortest,GO:0001771,4.0,29.0
namespace,is_a,shortest,GO:0001773,4.0,30.0
namespace,is_a,shortest,GO:0001774,4.0,24.0
namespace,is_a,shortest,GO:0001775,2.0,14.0
